VBB,VB,VCC,IB,VC,IC,,,
0.997314,0.535889,0.007324,4.61E-06,0.006104,2.60E-06,,,
1.019287,0.615234,0.198975,4.04E-06,0.091553,0.000229,,,
1.04126,0.638428,0.397949,4.03E-06,0.150146,0.000527,,,
1.048584,0.64331,0.599365,4.05E-06,0.244141,0.000756,,,
1.052246,0.646973,0.797119,4.05E-06,0.428467,0.000784,,,
1.048584,0.648193,0.998535,4.00E-06,0.661621,0.000717,,,
1.053467,0.651855,1.19751,4.02E-06,0.848389,0.000743,,,
1.057129,0.654297,1.398926,4.03E-06,1.040039,0.000764,,,
1.063232,0.656738,1.5979,4.06E-06,1.229248,0.000784,,,
1.064453,0.65918,1.798096,4.05E-06,1.367187,0.000917,,,
1.062012,0.6604,1.998291,4.02E-06,1.613769,0.000818,,,
1.063232,0.661621,2.198486,4.02E-06,1.80542,0.000836,,,
1.066894,0.664062,2.398681,4.03E-06,1.999512,0.000849,,,
1.069336,0.665283,2.597656,4.04E-06,2.193603,0.00086,,,
1.069336,0.667725,2.799072,4.02E-06,2.387695,0.000875,,,
1.071777,0.668945,2.998047,4.03E-06,2.520752,0.001016,,,
1.070557,0.670166,3.197021,4.00E-06,2.773437,0.000901,,,
1.072998,0.672607,3.397216,4.00E-06,2.961425,0.000927,,,
1.074219,0.673828,3.599853,4.00E-06,3.148193,0.000961,,,
1.079101,0.675049,3.798828,4.04E-06,3.339843,0.000977,,,
1.079101,0.676269,3.997802,4.03E-06,3.533935,0.000987,,,
1.077881,0.67749,4.199218,4.00E-06,3.725586,0.001008,,,
1.077881,0.67749,4.398193,4.00E-06,3.914795,0.001029,,,
1.082764,0.678711,4.597167,4.04E-06,4.104003,0.001049,,,
1.082764,0.679932,4.796142,4.03E-06,4.293212,0.00107,,,
1.081543,0.681152,4.997558,4.00E-06,4.475097,0.001112,,,